id,title,link,brand,google_product_category,price,availability,image_link,image_alt_text,gender,description,condition
ochre-yellow-small-dots-linen-block-printed-stole,Ochre Yellow Small Dots Linen Block Printed Stole,https://itminan.in/products/ochre-yellow-small-dots-linen-block-printed-stole,itminan,Apparel & Accessories > Clothing Accessories > Scarves & Shawls,1200,in stock,https://cdn.shopify.com/s/files/1/0311/0387/7259/products/linen-ochre-yellow-dot-1.jpg?v=1597143882,linen ochre yellow dot 1,unisex,"FabricPure LinenDimensions38 x 71 inchCraftHand Block Printing SanganerDyesAZO Free DyesColourOchre YellowThis product is handcrafted by skilled artisans for you and may have slight irregularities that are a natural outcome of human involvement in the process.Because each piece is made by hand, no two are exactly alike.The colours seen in the image may vary from the actual product due to different computer screen resolutions and displays.",new
ochre-yellow-small-dots-triangle-linen-block-printed-stole,Ochre Yellow Small Dots Triangle Linen Block Printed Stole,https://itminan.in/products/ochre-yellow-small-dots-triangle-linen-block-printed-stole,itminan,Apparel & Accessories > Clothing Accessories > Scarves & Shawls,1200,in stock,https://cdn.shopify.com/s/files/1/0311/0387/7259/products/linen-ochre-yellow-dotted-triangle-1.jpg?v=1597143874,linen ochre yellow dotted triangle 1,unisex,"FabricPure LinenDimensions38 x 71 inchCraftHand Block Printing SanganerDyesAZO Free DyesColourOchre YellowThis product is handcrafted by skilled artisans for you and may have slight irregularities that are a natural outcome of human involvement in the process.Because each piece is made by hand, no two are exactly alike.The colours seen in the image may vary from the actual product due to different computer screen resolutions and displays.",new
ochre-yellow-small-triangle-linen-block-printed-stole,Ochre Yellow Small Triangle Linen Block Printed Stole,https://itminan.in/products/ochre-yellow-small-triangle-linen-block-printed-stole,itminan,Apparel & Accessories > Clothing Accessories > Scarves & Shawls,1200,in stock,https://cdn.shopify.com/s/files/1/0311/0387/7259/products/linen-ochre-yellow-triangle-1.jpg?v=1597143865,linen ochre yellow triangle 1,unisex,"FabricPure LinenDimensions38 x 71 inchCraftHand Block Printing SanganerDyesAZO Free DyesColourOchre YellowThis product is handcrafted by skilled artisans for you and may have slight irregularities that are a natural outcome of human involvement in the process.Because each piece is made by hand, no two are exactly alike.The colours seen in the image may vary from the actual product due to different computer screen resolutions and displays.",new
red-small-dots-linen-block-printed-stole,Red Small Dots Linen Block Printed Stole,https://itminan.in/products/red-small-dots-linen-block-printed-stole,itminan,Apparel & Accessories > Clothing Accessories > Scarves & Shawls,1200,in stock,https://cdn.shopify.com/s/files/1/0311/0387/7259/products/linen-red-dot-1.jpg?v=1597143857,linen red dot 1,unisex,"FabricPure LinenDimensions38 x 71 inchCraftHand Block Printing SanganerDyesAZO Free DyesColourRedThis product is handcrafted by skilled artisans for you and may have slight irregularities that are a natural outcome of human involvement in the process.Because each piece is made by hand, no two are exactly alike.The colours seen in the image may vary from the actual product due to different computer screen resolutions and displays.",new
red-small-dots-triangle-linen-block-printed-stole,Red Small Dots Triangle Linen Block Printed Stole,https://itminan.in/products/red-small-dots-triangle-linen-block-printed-stole,itminan,Apparel & Accessories > Clothing Accessories > Scarves & Shawls,1200,in stock,https://cdn.shopify.com/s/files/1/0311/0387/7259/products/linen-red-dotted-triangle-1.jpg?v=1597143849,linen red dotted triangle 1,unisex,"FabricPure LinenDimensions38 x 71 inchCraftHand Block Printing SanganerDyesAZO Free DyesColourRedThis product is handcrafted by skilled artisans for you and may have slight irregularities that are a natural outcome of human involvement in the process.Because each piece is made by hand, no two are exactly alike.The colours seen in the image may vary from the actual product due to different computer screen resolutions and displays.",new
red-small-triangle-linen-block-printed-stole,Red Small Triangle Linen Block Printed Stole,https://itminan.in/products/red-small-triangle-linen-block-printed-stole,itminan,Apparel & Accessories > Clothing Accessories > Scarves & Shawls,1200,in stock,https://cdn.shopify.com/s/files/1/0311/0387/7259/products/linen-red-triangle-1.jpg?v=1597143841,linen red triangle 1,unisex,"FabricPure LinenDimensions38 x 71 inchCraftHand Block Printing SanganerDyesAZO Free DyesColourRedThis product is handcrafted by skilled artisans for you and may have slight irregularities that are a natural outcome of human involvement in the process.Because each piece is made by hand, no two are exactly alike.The colours seen in the image may vary from the actual product due to different computer screen resolutions and displays.",new
peach-small-dots-linen-block-printed-stole,Peach Small Dots Linen Block Printed Stole,https://itminan.in/products/peach-small-dots-linen-block-printed-stole,itminan,Apparel & Accessories > Clothing Accessories > Scarves & Shawls,1200,in stock,https://cdn.shopify.com/s/files/1/0311/0387/7259/products/linen-peach-dot-1.jpg?v=1597143833,linen peach dot 1,unisex,"FabricPure LinenDimensions38 x 71 inchCraftHand Block Printing SanganerDyesAZO Free DyesColourPeachThis product is handcrafted by skilled artisans for you and may have slight irregularities that are a natural outcome of human involvement in the process.Because each piece is made by hand, no two are exactly alike.The colours seen in the image may vary from the actual product due to different computer screen resolutions and displays.",new
peach-small-dots-triangle-linen-block-printed-stole,Peach Small Dots Triangle Linen Block Printed Stole,https://itminan.in/products/peach-small-dots-triangle-linen-block-printed-stole,itminan,Apparel & Accessories > Clothing Accessories > Scarves & Shawls,1200,in stock,https://cdn.shopify.com/s/files/1/0311/0387/7259/products/linen-peach-dotted-triangle-1.jpg?v=1597143824,linen peach dotted triangle 1,unisex,"FabricPure LinenDimensions38 x 71 inchCraftHand Block Printing SanganerDyesAZO Free DyesColourPeachThis product is handcrafted by skilled artisans for you and may have slight irregularities that are a natural outcome of human involvement in the process.Because each piece is made by hand, no two are exactly alike.The colours seen in the image may vary from the actual product due to different computer screen resolutions and displays.",new
peach-small-triangle-linen-block-printed-stole,Peach Small Triangle Linen Block Printed Stole,https://itminan.in/products/peach-small-triangle-linen-block-printed-stole,itminan,Apparel & Accessories > Clothing Accessories > Scarves & Shawls,1200,in stock,https://cdn.shopify.com/s/files/1/0311/0387/7259/products/linen-peach-triangle-1.jpg?v=1597143816,linen peach triangle 1,unisex,"FabricPure LinenDimensions38 x 71 inchCraftHand Block Printing SanganerDyesAZO Free DyesColourPeachThis product is handcrafted by skilled artisans for you and may have slight irregularities that are a natural outcome of human involvement in the process.Because each piece is made by hand, no two are exactly alike.The colours seen in the image may vary from the actual product due to different computer screen resolutions and displays.",new
sea-green-small-dots-linen-block-printed-stole,Sea Green Small Dots Linen Block Printed Stole,https://itminan.in/products/sea-green-small-dots-linen-block-printed-stole,itminan,Apparel & Accessories > Clothing Accessories > Scarves & Shawls,1200,in stock,https://cdn.shopify.com/s/files/1/0311/0387/7259/products/linen-sea-green-dot-2.jpg?v=1597143808,linen sea green dot 2,unisex,"FabricPure LinenDimensions38 x 71 inchCraftHand Block Printing SanganerDyesAZO Free DyesColourSea GreenThis product is handcrafted by skilled artisans for you and may have slight irregularities that are a natural outcome of human involvement in the process.Because each piece is made by hand, no two are exactly alike.The colours seen in the image may vary from the actual product due to different computer screen resolutions and displays.",new
